;;Перенос;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;;;;;
;;B2;;0;1;0;0;.;0;0;1;1;.;0;0;0;1;.;1;0;1;0;;;17178;;Произошёл перенос из старшего разряда
;;A + C + C =;;1;1;1;0;.;0;0;1;1;.;0;0;1;0;.;0;0;1;1;;+;-7389;;
;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9789;;=;;
;;;;0;0;1;0;.;0;1;1;0;.;0;0;1;1;.;1;1;0;1;;;9789;;
;;перевод из допкода;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;CF = ;1;PF =;1;AF=;0;ZF =;0;SF=;0;OF=;0;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Перенос;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;;;;;
;;B7;;1;1;1;0;.;0;0;1;1;.;0;0;1;0;.;0;0;1;1;;;-7389;;Произошёл перенос из старшего разряда
;;C - A =;;1;0;1;1;.;1;1;0;0;.;1;1;1;0;.;0;1;1;0;;+;-17178;;
;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-24567;;=;;
;;;;1;0;1;0;.;0;0;0;0;.;0;0;0;0;.;1;0;0;1;;;-24567;;
;;перевод из допкода;;0;1;0;1;.;1;1;1;1;.;1;1;1;1;.;0;1;1;1;;;;;
;;;;CF = ;1;PF =;1;AF=;0;ZF =;0;SF=;1;OF=;0;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Перенос;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
;;B8;;1;0;1;1;.;1;1;0;0;.;1;1;1;0;.;0;1;1;0;;;-17178;;Произошло переполнение
;;65536 - x4 =;;1;0;1;0;.;0;0;0;0;.;0;0;0;0;.;1;0;0;1;;+;-24567;;
;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23791;;=;;
;;;;0;1;0;1;.;1;1;0;0;.;1;1;1;0;.;1;1;1;1;;;-41745;;
;;перевод из допкода;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;CF = ;0;PF =;0;AF=;0;ZF =;0;SF=;0;OF=;1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Перенос;0;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0;0;;;;;
;;B1;;0;0;0;1;.;1;1;0;0;.;1;1;0;1;.;1;1;0;1;;;7389;;все нормально
;;C - A =;;1;0;1;1;.;1;1;0;0;.;1;1;1;0;.;0;1;1;0;;+;-17178;;
;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-9789;;=;;
;;;;1;1;0;1;.;1;0;0;1;.;1;1;0;0;.;0;0;1;1;;;-9789;;
;;перевод из допкода;;0;0;1;0;.;0;1;1;0;.;0;0;1;1;.;1;1;0;1;;;;;
;;;;CF = ;0;PF =;0;AF=;1;ZF =;0;SF=;1;OF=;0;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Перенос;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0;;;;;
;;B11;;1;1;0;1;.;1;0;0;1;.;1;1;0;0;.;0;0;1;1;;;-9789;;Произошёл перенос из старшего разряда
;;0;;0;1;0;1;.;1;1;1;1;.;1;1;1;1;.;0;1;1;1;;+;24567;;
;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14778;;=;;
;;;;0;0;1;1;.;1;0;0;1;.;1;0;1;1;.;1;0;1;0;;;14778;;
;;перевод из допкода;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;CF = ;1;PF =;0;AF=;0;ZF =;0;SF=;0;OF=;0;;;;;;;;;;;;
